file,meeting_title,start_time,bucket,label,description,num_evidence,evidence_quotes,cross_bucket_flag,admin_noise_flag,canonical,generic_flag,llm_contamination,evidence_support,label_accuracy,issue,off_topic,quality_score
31021d17-6f04-4dcd-97d6-d45d8e625c28.json,Delaney - Reconnect - North Works Operations + Voxel,2022-11-17T20:00:00Z,safety_use_cases,Pinpoint hazard hotspots with Heat Maps to drive mitigations,"Use heat maps on specific cameras to see exactly where incidents (e.g., PIT-to-PIT and ergonomics risks) occur and then implement controls like stop signs, mirrors, or area re-engineering.",9,"And then the last, I think the most exciting thing is Heat Maps is now, it's going officially live to everybody at the end. | So this is an example from, you know, a customer of looking at their pit to pit on this exact camera. | But now you have that fourth layer of pinpoint. | I mean exactly where it's happening. | So you'll know exactly where your incidents are taking place on the camera overlay. | Yeah, was going to say that really drives your strategy for mitigation really well at that point because you could say, well, look, it's right here, this one junction. | We need to put in stop signs. | We need to put in mirrors. | It's been huge with Ergo.",True,False,Safety Heatmaps and Hotspot Analysis,False,False,5,5,,False,5.0
31021d17-6f04-4dcd-97d6-d45d8e625c28.json,Delaney - Reconnect - North Works Operations + Voxel,2022-11-17T20:00:00Z,safety_use_cases,Boards for targeted safety monitoring and trend detection,"Create sub-site boards by camera, shift, use case, and user so supervisors see only relevant incidents and can quickly spot trends like increases in no-stops or no‑ped‑zone violations.",6,"So basically boards is like a sub-site within a site. | So you can base a board based off of camera and or use case and or user and or time frame. | Second shift, these a few cameras put together based off these use cases, and only my second shift supervisors can see these boards. | Well, now it's going to spit out, hey, actually Tuesday at one, there's a 20-30% increase in no stops on this camera. | Hey, your no-ped zones are going up around Monday at 5 a.m.. | It gives you a good idea of, you know, really breaks it down at almost a granular level at that point.",True,False,Boards for targeted safety monitoring and trend detection,False,False,5,5,,False,5.0
31021d17-6f04-4dcd-97d6-d45d8e625c28.json,Delaney - Reconnect - North Works Operations + Voxel,2022-11-17T20:00:00Z,safety_use_cases,Assign and track corrective safety actions with owners and due dates,"Create actions from identified issues (e.g., safety vest non‑compliance), assign an owner and watchers, set due dates with reminders, and track status to ensure mitigation follow‑through.",9,"And then another thing we did was we created actions. | So, if you come in here and there's something you want to see that you want the whole team to take initiative on or certain sets of people to take initiative on, you can now come in here and create an action. | So like with a safety vest, right? | So let's say that I'm going to say Connor's the owner of this assignment or this action. | I really need Derek and David to be a visibility into this too. | And the one thing that I've loved the most is you can assign a due date. | So now you can create a due date, sends reminders. | And then you have a better flow of, hey, what's been assigned out, what's in progress, and what has actually been completed. | That helps really track and drive the mitigation part on the back end.",True,False,Actions Workflow and Coaching,False,False,5,5,,False,5.0
31021d17-6f04-4dcd-97d6-d45d8e625c28.json,Delaney - Reconnect - North Works Operations + Voxel,2022-11-17T20:00:00Z,nonsafety_use_cases,Boards for targeted monitoring and trend detection,"Use boards to segment data by shift, area, and use case, limit visibility by role, and surface trends quickly for faster time‑to‑insight.",6,"So basically boards is like a sub-site within a site. | So you can base a board based off of camera and or use case and or user and or time frame. | Second shift, these a few cameras put together based off these use cases, and only my second shift supervisors can see these boards. | Well, now it's going to spit out, hey, actually Tuesday at one, there's a 20-30% increase in no stops on this camera. | Hey, your no-ped zones are going up around Monday at 5 a.m.. | It gives you a good idea of, you know, really breaks it down at almost a granular level at that point.",True,False,Dashboard and UI Customization,False,False,5,3,Label correctly describes functionality but 'nonsafety_use_cases' bucket is questionable—evidence mentions safety events like 'no stops' and 'no-ped zones' which are safety-related monitoring.,False,4.0
31021d17-6f04-4dcd-97d6-d45d8e625c28.json,Delaney - Reconnect - North Works Operations + Voxel,2022-11-17T20:00:00Z,nonsafety_use_cases,Assign and track actions with owners and due dates,"Use Actions to assign tasks, add watchers, set due dates with reminders, and manage workflow from assigned to completed for accountability.",8,"And then another thing we did was we created actions. | So, if you come in here and there's something you want to see that you want the whole team to take initiative on or certain sets of people to take initiative on, you can now come in here and create an action. | So let's say that I'm going to say Connor's the owner of this assignment or this action. | I really need Derek and David to be a visibility into this too. | And the one thing that I've loved the most is you can assign a due date. | So now you can create a due date, sends reminders. | And then you have a better flow of, hey, what's been assigned out, what's in progress, and what has actually been completed. | That helps really track and drive the mitigation part on the back end.",True,False,Action Tracking and Accountability,False,False,5,3,Label is accurate but bucketed as 'nonsafety_use_cases' when action tracking for safety mitigations could be safety-related given the mention of 'mitigation' in the evidence,False,4.0
ab25c025-3c1d-4127-8784-51d4c905ea23.json,Stone Peak Manufacturing + Voxel Reconnect,2022-01-06T18:00:00Z,safety_use_cases,Material handling and ergonomics risk detection,"Detect and reduce material handling injuries and ergonomic risks (e.g., improper bends, overreach, handling heavy scrap bins or beams) before someone gets hurt.",3,"But no, our number one injury this year, and it kind of holds true since I've been here for several years now, is material handling. | So it's not so much about the war, it's about the rule, right? So an ergonomic, improper bend is an improper bend, an overreach is an overreach. | They're all metal that this woman is handling.",True,False,Ergonomic Risk Detection,False,False,5,5,,False,5.0
ab25c025-3c1d-4127-8784-51d4c905ea23.json,Stone Peak Manufacturing + Voxel Reconnect,2022-01-06T18:00:00Z,safety_use_cases,Forklift intersection compliance (no-stop) monitoring,Monitor forklifts to ensure complete stops at designated intersections to prevent collisions and near-misses.,2,"This is an example of no-stop intersections, right? | So, a forklift not coming to a complete stop where you wanted to before proceeding.",True,False,Intersection Stop Compliance,False,False,5,5,,False,5.0
ab25c025-3c1d-4127-8784-51d4c905ea23.json,Stone Peak Manufacturing + Voxel Reconnect,2022-01-06T18:00:00Z,safety_use_cases,Walking under suspended loads detection,"Detect workers walking under suspended loads (e.g., beams) and surface those events to enforce rules and prevent struck-by incidents.",2,"one thing that we just released, too, that would be of interest to you guys is walking under suspended load. | But we just released walking under suspended load, so I'm sure for your beams, right, that are moving, I'm sure it's a rule that they can't walk under those beams while they're suspended.",True,False,Suspended Load Hazard Detection,False,False,5,5,,False,5.0
ab25c025-3c1d-4127-8784-51d4c905ea23.json,Stone Peak Manufacturing + Voxel Reconnect,2022-01-06T18:00:00Z,safety_use_cases,Working at heights without harness detection,Monitor for workers at height without proper fall protection (safety harness) to prevent serious injuries.,1,Are folks working at heights without a safety harness?,True,False,Working at Heights Detection,False,False,5,5,,False,5.0
ab25c025-3c1d-4127-8784-51d4c905ea23.json,Stone Peak Manufacturing + Voxel Reconnect,2022-01-06T18:00:00Z,safety_use_cases,PPE compliance and laceration prevention,"Detect PPE non-compliance (e.g., missing gloves) to reduce injuries such as lacerations.",2,"You we really focus on three areas, the worker themselves, so ergo and PPE compliance. | So only things that we can help with, like material handling, like struck by, like lacerations with people not wearing their gloves.",True,False,PPE Compliance Monitoring,False,True,5,5,,False,5.0
