canonical,call_count,avg_evidence_support,avg_label_accuracy,example_labels,sample_quotes
Action Tracking and Accountability,20,4.863636363636363,3.590909090909091,"['Assign and track actions with owners and due dates', 'Action management and coaching workflow', 'Assign and track corrective actions in platform']","And then another thing we did was we created actions. | So, if you come in here and there's something you want to see that you want the whole team to take initiative on or certain sets of people to take initiative on, you can now come in here and create an action. | So let's say that I'm going to sa"
Door Duration Monitoring,11,4.363636363636363,3.8181818181818183,"['Operational analytics: monitor open door durations', 'Open door duration tracking for turn-time management', 'Open door duration monitoring']","and then some operational, open door durations, et cetera."
Dashboard and UI Customization,8,5.0,4.222222222222222,"['Boards for targeted monitoring and trend detection', 'Shift-based dashboards and gamification', 'Data overload management via Boards and filtered default views']","So basically boards is like a sub-site within a site. | So you can base a board based off of camera and or use case and or user and or time frame. | Second shift, these a few cameras put together based off these use cases, and only my second shift supervisors can see these boards. | Well, now it's g"
Safety Analytics and Reporting,8,5.0,2.5,"['Enterprise safety analytics and summary view', 'Safety reporting and coaching workflows', 'Cross-site and shift compliance benchmarking']","what we're pulling to the forefront for you guys is that enterprise visibility into how often, when, and where those things are happening. | for someone like you that oversees multiple facilities, as you go from one to many with Voxel, we have a summary view where all those sites feed into one, righ"
System Integration and Data Export,8,4.625,3.875,"['Integration with an external workflow tool via API/data export', 'Export operational data to external BI/EHS systems', 'Integrate with existing camera infrastructure (no hardware replacement)']","We're going to be able to push that safety data into an external workflow tool, either by downloading and uploading the data or by using an API to push it directly over."
Product Damage and Shrink Reduction,8,4.222222222222222,3.4444444444444446,"['Reduce property damage, equipment repair costs, and product shrink from PIT incidents', 'Product and infrastructure damage detection (collisions with racks/product)', 'Shrink reduction via service alerts in high-risk aisles']","I may have property damage. The door might be broken. I may have equipment repair needed on the pit for hitting the door. | And if those two did hit each other, this product is now shrink on some level, right?"
Restricted Area and Access Control,7,5.0,3.625,"['Security/area control and after-hours presence detection', 'Area controls (restricted zones and product placement policies)', 'Unauthorized access/security breach detection with alerts']","We definitely have a lot of customers leveraging us for sort of security and area control type use cases, where it's like, did we detect a person in this area? | if we wanted to say, you know, let's make sure that there's no one in this area between the hours of 1 a.m.. and 6 a.m.., you know, we cou"
Warehouse Productivity Optimization,7,4.428571428571429,3.2857142857142856,"['Operational productivity and safety program efficiency gains', 'Reduce time spent on manual observations', 'Optimize pallet stack heights and segregate pallet types to improve productivity']","From an operational standpoint, you know, over time we can certainly prove out productivity gains. | Generally those are, you know, more related to workers being at work and not actually being out, you know, due to suffering a lost time injury. | But also we can generally identify savings around kin"
Report Export and Subscriptions,6,4.75,3.875,"['Report subscriptions and exports (PDF/CSV/PPT) for stakeholder sharing', 'Embed incident videos in presentation decks', 'Monthly reporting/data export to support internal shift-level reporting']","we also have options like subscriptions. So being able to say, hey, I want a weekly download of this information sent to my inbox. | the ability to export not only. Like a PDF format of this, but also the raw data | we're looking at three formats. The first being PDF... The second is that raw data e"
Intervention Impact Tracking,5,5.0,3.0,"['Track intervention impact with platform markers', 'Post-intervention markers and trend analysis for ROI', 'Quantify impact of safety interventions with leading indicators and markers']","So when they actually put in training, or if there is something that they are doing on the floor, we can add a marker. | And that way we can see, what did the data look like before, and now what does the data look like now? | So this is what a marker would look like, and what we could do when you do"
Traffic Flow and Congestion,5,4.857142857142857,4.0,"['Address PIT parking duration impacting aisle flow at central crossway', 'Reduce Chipotle dry dock congestion by splitting shifts', 'Conveyor congestion detection for operational efficiency']","The one area I wanted to highlight with you was parking duration, because that saw a pretty sharp increase this past month. | And it looks like, you know, far and away, the central crossway is the top offender. | No, they're not supposed to. | We coach them or we do a write-up, and it's the back and"
Hazard Detection and Alerting,5,4.8,3.0,"['Augment lean store teams with automated observations/alerts', 'Automate camera monitoring to save staff time', 'Reduce manual video review workload']","stores run with less and less team members, so how can we bring in, how can we assist our team members that maybe we don't have to hire that part-time, extra full-time person? | what we can't do is put something out there that's going to add a lot of workload | if you perform your typical safety obs"
Heatmap Analytics,5,4.5,3.1666666666666665,"['Heatmaps analytics to prioritize focus', 'Use heatmaps and claims data to target and validate impact', 'Heatmap-based prioritization of reviews']","Second is our heat mapping tool. | Within a camera view, what are the hot spots where this is occurring within? | there is an open heat map icon for the last about a month that will appear."
Driver and Vehicle Compliance,4,5.0,3.75,"['Driver exoneration using video evidence after a crash', 'Yard gate driver behavior logging for carrier compliance', 'Trailer pull-away detection at docks']","They called us and they're like, hey, we need to get some vintage. | We're so happy that we have Beacon Ridge Telematics. They was actually able to exonerate their driver right on the scene. | It had nothing to do with the driver. was the other driver that had a head-on collision with them."
Customer Incident Evidence,4,4.75,2.75,"['Customer-incident evidence capture and faster closure', 'Retail front-of-store liability reduction', 'Near-miss and property damage data for AP claims/investigations']","we all know that the appropriate film can save me a million dollars. | A lot of my claims begin with a customer walking in and end with a serious incident. | How can you help me fill those internal gaps while knowing I don't have a dime to spend on it? | The older a claim, the more expensive it gets"
PIT Parking Duration Monitoring,4,4.75,5.0,"['PIT parking duration and dwell-time analytics for operational flow', 'Parking duration monitoring', 'PIT parking duration monitoring and camera zone tuning']","We can also do parking duration. So like, should pits not be parked somewhere for any amount of time? | Operational flow, right? Dwell time, things like that."
Perimeter and Yard Security,4,4.5,3.75,"['Facility security monitoring with CCTV', 'Security monitoring (license plate recognition and restricted-hours alerts)', 'Security monitoring use cases (yard/internal)']","New facility, security cameras are going in, and they're going to be used for, like, security."
Camera Coverage Expansion,3,5.0,2.6666666666666665,"['Re-scope cameras/zones to manage alert volume and reduce false positives', 'Camera coverage planning and rescoping to address blind spots', 'Increase camera coverage for monitoring and business case']","We re-scoped, got the total daily incidents down. | If you have cameras that have moved or you have just a spike in trends, it could be a potential that the camera has moved. | And now we need to re-scope."
Cross-Facility Benchmarking,3,5.0,2.6666666666666665,"['Cross‑site safety analytics and benchmarking', 'Cross-facility summary view for benchmarking', 'Enterprise analytics and benchmarking across sites']","So right now we're looking at the all-sites dashboard within Voxel. | how many incidents over the last about a month. | it would be valuable to see if Puerto Rico is wearing their PPE better than a site and how to make a culture change or, like you say, a coaching change and get them on board."
Detection Accuracy Validation,3,5.0,3.0,"['Review dashboard metrics and product enhancements to identify opportunities', 'Validate detection accuracy/precision and false positive/negative thresholds in dense production cells', 'Improve data accuracy via precise region configuration']",I typically run through dashboard metrics to understand where opportunities lie and make sure you guys are open to hearing about our product enhancements and what you can leverage from that perspective as well. | Just wanted to briefly walk through some of the metrics.
Equipment Condition Monitoring,3,5.0,3.6666666666666665,"['Early issue detection for downtime prevention', 'Equipment issue monitoring', 'Operational anomaly detection']",They can identify where different rollers are behaving a bit differently than expected. | Early detection for downtime events.
PPE Compliance Monitoring,3,5.0,3.0,"['Food hygiene PPE compliance (hair nets and beard nets)', 'Food safety and controlled-environment compliance monitoring', 'Food safety PPE compliance (hair nets and beard nets)']","We just did like hair nets and beard nets for some of our food, food processors."
Video Footage Retrieval,3,5.0,4.0,"['Accelerate incident investigations with timestamps', 'Video footage retrieval', 'Link incident logs to camera footage for leader review']","And that's when you go back to your camera system and spend a couple of hours of your life, maybe more, trying to figure out when the heck that mark got on your door. | we timestamp everything. | So, you know exactly where you're going."
Platform Adoption Analytics,3,4.666666666666667,3.6666666666666665,"['Broaden platform engagement via role-based access and targeted boards', 'Usage analytics to monitor and pinpoint adoption', 'Platform adoption and usage analytics reporting']","We've got six, eight, ten people with login that can come in, can make an observation, can give a positive comment, can maybe provide some insights on what they're seeing. | We now have a contributor role where they're only seeing what you guys want them to see. | Yesterday has had all cameras now o"
Customer Service Monitoring,2,5.0,5.0,"['Customer service alerts at fabric cutting and service areas', 'Customer service area staffing monitoring']","They do not like waiting, not having someone at the cutting area. | This is a fix for the cutting area. | we can turn that customer quicker at the fabric area by notifying team members."
Facial Recognition and Identity,2,5.0,5.0,"['Facial recognition to identify individuals in footage', 'Identity resolution for incident investigations (facial recognition request)']","are you now able to actually put a name onto, like, someone that we know, okay, if this, like, they could, AI can actually, like, know who that person is? Like facial ID? | No, that's not part of our plans currently. | we do have other kind of camera reviews for like mistakes and things like that, y"
Gamification and Engagement,2,5.0,4.0,"['Gamify adoption and safety behaviors', 'Team engagement leaderboards and gamification']","From a gamification, I know that's one of the things that we've often done is, you know, you may have some incentives. | Hey, you know, for each shift that may not be applicable, but doesn't have any stop signs that are blown. | Yeah, I'm sure that there's ways that is, if we got Seth Spine, that he"
Historical Data Review,2,5.0,4.0,['Use historical data to support internal review'],"A lot of what we do is help customers have that internal conversation when spending is under more scrutiny. | We can use historical safety performance to show the likely impact without getting overly specific. | If you have multi-year facility data, we can use that to put something together for inte"
Maintenance Window Management,2,5.0,4.5,"['Maintenance window suppression (no incident capture during scheduled work)', 'Exclude planned events from analytics to avoid skewed metrics']","So their normal maintenance day is on Sundays. | So we need to add that in to the, no incident capturing Sundays from. | 6A to 6P. | All right. I'll get that added in there."
No-Idling Zone Enforcement,2,5.0,4.0,"['No-idling/no-standing enforcement in parking and no-traffic areas', 'Vehicle idling monitoring (ports)']","Again, reiterating that we're not a security platform first, but people have used that to do, like, no idling or where people, like, it says, like, people can't just stand there and wait. | Like, so they do that for, like, parking lots or no traffic areas."
Quality Inspection,2,5.0,3.0,"['Quality inspection via computer vision', 'Quality control visual inspection with cameras']","The other is quality. So a lot of our customers in the manufacturing world are saying, hey, I need to be able to, I can see using this for quality. | If I'm a paper — it might be looking for ink or tears or dots. If I'm an automotive stamping facility, it might be looking for weld quality or outside"
Training and LMS Integration,2,5.0,4.0,"['Use Voxel videos in training and explore LMS (Cornerstone) integration', 'Training content efficiency using bookmarked clips']","We use a learning management system called Cornerstone. Can this be tied into Cornerstone so we can keep track of training whenever we assign training? Is that a possibility? | New decks or presentations, they have like videos from Voxel, they use that for new employee training. | So you can use our"
Obstruction Detection and Compliance,2,4.5,3.5,"['Obstruction detection for Federal Safety Bureau compliance and fines avoidance', 'Obstruction detection standardization across sites']","We don't want an emergency exit blocked, and or the fire extinguisher. If Federal Safety Bureau was walking through this facility, that's a fine, right?"
Workers' Comp and Insurance,2,3.5,2.0,"['Evaluate value using claims and injury trends', 'Reduce injury and liability costs via targeted interventions']","That was one of the things that Doug wanted to get a better handle on. | an average work comp claim is about REDACTED to REDACTED. | And if we were to prevent a few injuries, at least with Plant City, it pays for itself | on average, REDACTED per injury, so two to three, two and a half to a few inju"
AGV Protection,1,5.0,3.0,['Protect laser-guided vehicles (AGVs) from damage'],"the new laser-guided vehicles that were obviously expensive, but forklift drivers and operators potentially crashing into those or causing havoc with those or risk around those."
AI vs Human Coverage Comparison,1,5.0,3.0,['Continuous AI safety coverage vs human observation'],"hey, I know if we hired 10 safety people, they all would be in the wrong place when an incident occurred, like they would all be at the other end of the mill checking on different things. | safety professionals can't be all in one place at the same time, around the clock. | even if you said, all rig"
Alert Volume Management,1,5.0,4.0,['Noise reduction via selective use case scoping'],"And so my concern is that I start setting up all these cameras all over the place, then I get all this pinging and activity, and it's, how do you sort? What you need to go work on and prioritize it and all that little of stuff. | we have customers that do this. Kendall and I have a customer that has"
Dock Equipment Monitoring,1,5.0,3.0,['Detect equipment set on dock plates'],"And then, like, if they're setting a machine on the dock plates itself, I would like that covered."
Door and Asset Damage Prevention,1,5.0,4.0,['Door/asset damage prevention via intersection monitoring'],"They had to replace the door three different times, cost them up to REDACTED. | they wanted to have a... No Stop at Intersection at this door."
Enterprise program governance and reporting,1,5.0,5.0,['Enterprise program governance and reporting'],"I think the next about a month, just the clear priority is going to be, you know, program management establishment, and then technical validation and technical go-live, essentially. | But I think what's going to be imperative doing something at this size and scale is putting together some level of r"
Ergonomics and Injury Prevention,1,5.0,2.0,['Ergonomics detection and real-time coaching (reduce injuries and costs)'],"it seems like I remember you had the abilities to recognize. We poor ergonomics, poor lifting techniques. | We have a lot of ergonomic issues here, and we have a lot of manual work here. | And just being able to call that out and do corrections almost in real time would be fantastic. | I will also t"
Fire Detection in Mills,1,5.0,2.0,['Early fire-related issue detection in mills'],"I believe the first use case we discussed was monitoring to detect early signs of a fire-related issue. | That type of detection was the key thing I went searching for. | Oak Motive Solutions lost REDACTED dollars in that fire and we probably lost a, you know, nobody was injured, but we probably los"
Forklift Idle Time Monitoring,1,5.0,4.0,['Charger parking duration telemetry'],"You still have the existing vehicle use cases over there, mean, anything around parking duration to see if they're, how long they're on the charger? | No, it's like, you know, they just arrive and they just jump on the lift and unplug and they go, you know."
Forklift Intersection Compliance,1,5.0,1.0,['Forklift stop-at-intersection compliance tracking and analytics'],"let's say that we're tracking a forklift, no stop at intersection, okay? | Make sure that that forklift or that pallet jack or that tugger or whatever vehicle it is that you have makes a full and complete stop there and then continues on. | We're capturing all of the vehicles moving through there. |"
Incident Type Standardization,1,5.0,3.0,['Standardize monitored incident types across sites'],"we really haven't got together to, I guess, narrow the scope on what are the core risks that we want to focus on. | get on the same page so that we understand what each site is at least collecting. Or, I should say, observing and then collecting information on those risks that we decided on."
Language Localization,1,5.0,3.0,['Per-user language localization to Spanish'],"Tamara, if you can hear us, on the last meeting, we mentioned the translation to Spanish. | That is now officially live. | For the rest of the team here, if anyone else wants Voxel to be displayed in any other language, Spanish included, you know, we recently rolled that out, so we can support that "
Lower workers’ comp premiums by demonstrating improved risk,1,5.0,4.0,['Lower workers’ comp premiums by demonstrating improved risk'],"For you, Harper, or even the guys at Willis, would this help drive, this type of system help drive a lower premium in the future as well, integrating this technology? | Well, I think the hope is that, yeah, you know, your losses improve, and as you become a better risk, yeah, your premiums will be l"
