canonical_name,member_labels,generic_flag,generic_reason,bucket,contamination_flag
Ergonomic Risk Detection,"['Ergonomic risk assessment via cameras', 'Ergonomic risk detection for pallet handling and overexertions', 'Ergonomic risk detection in packaging/seasoning and bagger film changes', 'Ergonomics monitoring for strains and sprains (Posture Risk Index) with corrective actions', 'Ergonomics risk reduction via safety orientation and targeted coaching', 'Ergonomics risk detection (improper bends and overreach)', 'Monitor and mitigate ergonomic risks (overreaching/improper bend)', 'Ergonomics risk detection and coaching', 'Ergonomics risk detection (improper bending, overreaching, heavy lifts)', 'Ergonomics and manual material handling injury reduction', 'Ergonomic risk detection (improper bending and overreaching)', 'Ergonomic risk and overreaching detection', 'Ergonomic risk detection (improper bends and overreach)', 'Ergonomics risk detection at presses/workstations', 'Ergonomic risk detection at Glenville dock', 'Ergonomic risk detection (overreaching/improper bend)', 'Ergonomic risk detection (improper bending/overreaching)', 'Employee ergonomics monitoring (improper bending and overreaching)', 'Ergonomic risk monitoring (overreaching, improper bend)', 'Ergonomics risk detection with heat maps', 'Ergonomic overreaching and overhead lifting risk', 'Ergonomic improper bending detection', 'Ergonomic overreach prevention', 'Ergonomics risk monitoring', 'Ergonomics risk detection (overreaching, improper lifting)', 'Ergonomic risk identification (improper bend/lift using Posture Risk Index)', 'Ergonomic improper bending and overreaching reduction', 'Ergonomics monitoring (improper bends and overreaching)', 'Ergonomics: improper bend detection', 'Ergonomics: overreaching detection', 'Material handling and ergonomics risk detection', 'Ergonomics monitoring in molding cells', 'Ergonomic risk monitoring and mitigation in manual operations', 'Ergonomic overreach/improper bend monitoring at CRFM', 'Ergonomic risk detection (improper bend, overreaching)', 'Ergonomics risk detection', 'Ergonomic risk reduction (overreaches, improper bends)', 'Ergonomics detection and real-time coaching (reduce injuries and costs)', 'Ergonomics monitoring (overreaching/improper bends)', 'Ergonomics risk detection with severity scoring (Posture Risk Index)', 'Prioritize ergonomics hotspots and mitigate with engineering controls', 'Ergonomics risk identification via heat maps and repetition analysis', 'Ergonomic risk detection and coaching', 'Ergonomic risk monitoring and coaching (overreaching, lifting/carrying)', 'Ergonomics risk monitoring and mitigation (overreach/improper bending)', 'Improper Bend ergonomics detection and coaching', 'Ergonomic risk monitoring for manual handling', 'Ergonomic risk detection and multi-actor capture', 'Ergonomics: Overreaches detection', 'Ergonomics monitoring at receiving doors (overreaching, improper bends, load stand use)', 'Ergonomics: Improper bending detection', 'Adjust ergonomics detection for exoskeleton users', 'Prioritize actionable ergonomic alerts and reduce noise']",False,,safety,False
PIT-Pedestrian Proximity Monitoring,"['PIT-to-pedestrian proximity trend analysis with rolling average', 'PIT–pedestrian interaction and near-miss detection (staging/warehouse/tote dumping)', 'Forklift/PIT safety: proximity and collision monitoring to prevent struck-by incidents', 'PIT and pedestrian proximity/near‑miss detection', 'Monitor and reduce forklift–pedestrian interactions (PIT-to-person)', 'Forklift safety monitoring (no-stops, stacking, collision prevention)', 'No-pedestrian zone monitoring (e.g., conveyors/rollers)', 'Forklift and pedestrian safety in very narrow aisle (VNA) racking', 'PIT–pedestrian proximity monitoring', 'Forklift/PIT and pedestrian safety monitoring', 'PIT-to-PIT proximity monitoring (person-to-PIT and PIT-to-PIT)', 'Forklift/pallet jack and pedestrian safety in back rooms', 'No-pedestrian zone and PIT-to-person proximity around barrier pole/outfeed/battery area', 'PIT–pedestrian interaction monitoring', 'Forklift–pedestrian proximity and walkway compliance monitoring', 'PIT/pedestrian and PIT-to-PIT proximity', 'PIT-to-pedestrian and PIT-to-PIT proximity monitoring', 'Forklift and pedestrian/intersection safety (PIT-to-person, PIT-to-PIT, no stops, no PED zones)', 'PIT-to-pedestrian proximity and walkway enforcement', 'PIT–pedestrian proximity and interaction monitoring', 'Forklift–pedestrian collision prevention and intersection compliance', 'PIT-to-pedestrian proximity alerts', 'PIT/pedestrian interaction monitoring and reduction', 'Forklift–pedestrian near-miss detection', 'Forklift and pedestrian proximity monitoring (PIT-to-person and PIT-to-PIT)', 'Forklift aisle and pedestrian walkway safety monitoring', 'Dock PIT and pedestrian safety monitoring', 'Forklift/PIT and pedestrian safety monitoring (including no pedestrian zones)', 'PIT/pedestrian proximity monitoring in drive lanes', 'PIT-to-person proximity monitoring', 'Forklift–pedestrian proximity monitoring during renovation at Van Buren freezer', 'Forklift and pedestrian proximity/near-miss detection', 'PIT and pedestrian interaction risk monitoring', 'Monitor and prioritize PIT–pedestrian proximity risks by area and severity', 'PIT–pedestrian proximity and forklift fork hazards', 'Forklift and vehicle–pedestrian interaction monitoring', 'Forklift and pedestrian proximity monitoring', 'Forklift (PIT) and pedestrian safety: proximity, speeding, no-stops, coaching', 'Forklift and pedestrian safety monitoring', 'PIT–pedestrian proximity monitoring and walkway zoning/coverage', 'Person-to-PIT proximity monitoring', 'Vehicle–pedestrian proximity (man–machine interface) alerts', 'Coach against forks-first forklift driving and PIT-pedestrian near-misses using Voxel clips']",False,,safety,False
PIT-to-PIT Proximity Monitoring,"['PIT–PIT proximity monitoring', 'PIT-to-PIT collision/proximity monitoring', 'PIT–PIT interaction monitoring', 'Intersection and end-of-aisle stop compliance and PIT-to-PIT near-miss detection', 'PIT-to-PIT proximity detection', 'PIT-to-PIT proximity and congestion detection', 'PIT-to-PIT proximity hazard analysis for layout changes', 'PIT/PIT-to-PIT proximity and one-machine-per-lane policy', 'PIT-to-PIT proximity/collision monitoring']",False,,safety,False
PPE Compliance Monitoring,"['PPE compliance monitoring in production areas', 'PPE compliance monitoring in parking lots (safety vests and other PPE)', 'Monitor safety vest PPE compliance and manage seasonal impacts', 'Plan for new thin hi-viz PPE and adjust detection accordingly', 'PPE: Safety gloves compliance and training', 'PPE compliance monitoring (hard hats/vests)', 'Hard hat PPE compliance at Maintenance Propane Station', 'PPE compliance (high-visibility apparel)', 'PPE compliance in kitchens/deli/meat (gloves, hairnets, cut-resistant/mesh gloves)', 'Respirator PPE compliance in paint areas', 'High-visibility safety vest compliance monitoring', 'PPE compliance monitoring (safety vests)', 'PPE vest compliance monitoring', 'Detect safety glasses (PPE) presence', 'PPE safety vest compliance', 'PPE compliance monitoring (hard hats, vests, gloves)', 'PPE compliance and laceration prevention', 'PPE compliance monitoring', 'PPE compliance monitoring (including eye protection)', 'PPE compliance monitoring (including hot work PPE)', 'PPE compliance and restricted area controls', 'PPE safety glove compliance monitoring', 'Safety vest (PPE) compliance monitoring in designated areas', 'PPE and seatbelt compliance monitoring', 'PPE compliance monitoring (bump caps and safety vests) with tuning and zoning', 'Handle low-visibility safety vests in PPE detection']",False,,safety,True
Spill Detection and Monitoring,"['Slip and fall prevention via spill detection and timely notifications', 'Spill detection and liquid hazard monitoring (processing/oil room; note outdoor limitations)', 'Slip and spill hazard detection with near-real-time alerts', 'Spill detection to prevent slip/corrosive hazards', 'Spill and leak detection (including hazardous chemicals)', 'Spill detection and timely cleanup alerts', 'Spill detection for faster response', 'Spill detection', 'Filter cleaning-related spills via timing threshold']",False,,safety,False
Working at Heights Detection,"['Conveyor misuse/working at heights monitoring', 'Working at heights/climbing racks detection', 'Working at heights fall protection monitoring (cherry pickers)', 'Working at Heights detection/monitoring in supply chain', 'Working at heights on ULDs detection', 'Working at heights on trailers (flatbed unloading)', 'Working at heights detection (beta)', 'Working at heights without harness detection', 'Working at heights detection', 'Working at heights detection (potential enable)', 'Working at heights risk detection', 'Working at heights hazard detection in mills', 'Surface secondary hazards (e.g., working at heights without fall protection)', 'Working at heights hazard detection', 'Working at heights compliance and lifting/falling object risks', 'Working at heights incident coaching via Actions', 'Slip/trip/fall and fall-from-height risk at docks/trailers']",False,,safety,False
Obstruction and Egress Monitoring,"['Back-of-store obstruction, fire-exit clearance, and no-idling/no-parking monitoring', 'Egress and safety equipment obstruction detection', 'Reduce aisle obstacles/obstructions based on Voxel alerts', 'Restricted-area and egress/asset obstruction monitoring', 'Housekeeping and egress obstruction monitoring', 'Obstruction detection standardization across sites', 'Obstruction hazard detection in critical areas', 'Obstructions, blocked walking paths, and unauthorized parking', 'Obstruction monitoring for blocked egress and eyewash stations', 'Aisle obstruction and pallet buildup monitoring and remediation', 'Obstruction/blocking pathway detection', 'Obstruction detection tuning due to false positives', 'Obstruction detection for egress/pedestrian walkways', 'Obstruction hazard monitoring', 'Obstruction detection in walk paths and drive lanes', 'Aisle obstruction monitoring', 'Obstruction detection in exits, extinguishers, and walkways', 'Compliance monitoring: blocked exits and extinguishers', 'Housekeeping hazard monitoring (exits, walkways, debris)', 'Obstruction/egress/walkway clearance monitoring', 'Obstruction detection in walk paths and drive lanes', 'Obstruction/egress/walkway clearance monitoring', 'Housekeeping and material fall risk detection', 'Refine obstruction regions to reduce false positives']",False,,safety,False
Forklift Speed Monitoring,"['PIT speeding monitoring', 'Forklift/PIT behavior monitoring (speeding, stops, proximity) during peak loading', 'Forklift driving behavior compliance (speed and restricted areas)', 'Forklift speeding detection', 'Forklift speed and intersection stop compliance', 'Vehicle speed monitoring (ports)', 'Speeding detection across existing cameras at Hub East', 'PIT speed monitoring (forklifts and yard trucks)', 'Forklift speed monitoring via camera-based distance measurement', 'Forklift speeding monitoring', 'Vehicle speeding detection across lanes', 'Yard vehicle speeding alerts', 'Outdoor vehicle speeding detection', 'Speeding analytics and compliance reporting', 'Vehicle speeding detection across lanes', 'PIT speed and stop compliance monitoring']",False,,safety,False
Intersection Stop Compliance,"['PIT safety monitoring (no-stops, proximity, seatbelts)', 'Forklift stop compliance at doors/intersections', 'Pedestrian walkway compliance and no-ped/no-stop zone enforcement', 'PIT stop compliance at door intersections', 'Forklift collision and intersection compliance monitoring', 'Forklift intersection compliance and PIT–pedestrian near-miss detection', 'Stop sign compliance (No Stop) monitoring', 'No‑stop at intersections/end-of-aisles', 'Forklift stop-at-intersection compliance tracking and analytics', 'Stop sign/required stop compliance', 'No-stop at end of aisle enforcement (focus on Quality Corner A)', 'Detect and reduce no-stops/rolling stops at stop signs (PIT/vehicle intersections)', 'Forklift intersection compliance (no-stop) monitoring', 'Stop sign compliance (no-stops) monitoring', 'End-of-aisle stop compliance enforcement', 'Gamify safety compliance to reduce no-stops', 'Exterior crosswalk and stop compliance monitoring', 'Stop sign/stop line compliance zones']",False,,safety,False
No-Pedestrian Zone Enforcement,"['Tune no-pedestrian zone detection to focus on real pedestrian/forklift risks', 'No PED zone training and compliance', 'Area controls for no-pedestrian zones', 'Pedestrian entry monitoring in restricted area', 'Lockout/Tagout and machine guarding hazard-zone monitoring (no-pedestrian zones)', 'No‑pedestrian zone enforcement (blended safety and security)', 'No-pedestrian zone and PIT-to-person proximity around barrier pole/outfeed/battery area', 'No-pedestrian zone enforcement (ramps, robot cells)', 'No-pedestrian zones and area controls (rollers, spills)', 'No-pedestrian zones in docks/aisles', 'No pedestrian zone enforcement', 'No pedestrian zones enforcement (inside warehouse)', 'Monitor no-pedestrian zones and hotspots', 'No‑pedestrian zones and shortcut hazard control', 'No-ped zones for hazardous areas (e.g., rollers)', 'No-pedestrian zone intrusion', 'No-pedestrian zone monitoring', 'Pedestrian no-go zone monitoring (temporarily disabled during contractor work)', 'Restricted hazard/working-at-heights zone intrusion alerts', 'Detect dangerous zone intrusions to drive engineering redesign']",False,,safety,False
